Zipcode,Men,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Covid,KDE,Density
11228,47.78340501409793,9.196322094629164,61.71389524141009,0.8038406951277871,0.0,27.719261937667326,66.30177631518312,71414.52045745053,17622.03142372291,31316.395281833928,4734.174719048529,11.222989142228014,17.10070974190021,37.899798099170255,19.35170934577856,23.245376036304155,8.03997364605936,11.442494226397542,35.13206725406281,9.642899213838408,45.002319680631025,6.1182570869830775,1.7152161986707466,2.3892308803670894,42.36649992569228,5.49667747418616e-05,78.62540192163277,15.95231969344952,5.124719378320756,0.2736759113898796,8.276721593127746,4.56,1.595497422433128,0.001881493580344732
11238,47.854479154589264,10.933963622955758,40.275243814801186,36.43227985453422,0.18290557777680705,7.442667609847104,75.32484550072655,73903.68514070261,13607.57815750073,43173.076632256256,5987.059206815805,13.344857672774513,12.39903343911258,60.909982130988396,13.722256976249366,18.51336321075605,2.166088001290356,4.694578014931332,9.594701708653604,1.4145151240514569,71.21199742413175,5.803048103049662,5.434349735711603,6.5060659707093755,38.69444286926017,0.0001681022688840579,77.58817524070528,14.1219530076242,8.172361190552692,0.11654413802217638,8.159898863377421,1.38,2.9323404546108716,0.005568620365650992
11214,49.21747988817814,14.426220588054006,49.0337677396575,1.1305703505512408,0.06041865798441325,34.012003064723004,59.56341593299214,50246.859145863695,12195.676488844185,24217.893178112845,4000.3678983618574,19.03190990793248,27.145560103589503,32.22203573596481,23.71245092422244,23.314663296507874,9.294470011100515,11.464988153350935,22.212817063426968,6.4232550503542605,61.63750133393317,6.629977309516599,1.3157835284096469,1.7752580952228103,47.98713958087047,5.584858814723086e-05,84.46115361097849,10.01807562250569,5.438293525876106,0.060772703629286474,9.008531535954127,3.68,7.9918684969771725,0.003339689344428312
11218,49.47855441240335,19.298819729153927,51.923129213225614,6.183642662569369,0.12060897027750216,18.79654976453183,58.5317575260633,58765.434598846514,10960.7134685458,28602.58066388732,4692.172953040047,20.716989208682516,26.445447241798483,43.44852312917797,19.24903002746483,20.68497712806724,6.833212474412774,9.791605238608543,17.248942107411498,3.669215991887515,61.51101337977286,8.40784047671192,4.272750991698164,4.887087316646699,40.71878568192883,0.00011588400439087065,77.77982112961378,12.627132780119377,9.419166412802126,0.18033961309104066,6.5344320535278655,2.38,75.29188107667541,0.004858965018122308
11204,49.480513395232585,10.195263606439916,59.641377232012175,0.6422669175590318,0.08639324627738701,28.51518629890945,54.08596333416669,46353.051320891136,11045.797051468191,20259.925476259938,3433.1680533833783,24.12965807025721,31.48720418926187,31.934844991308122,22.0299297404984,28.00892826481133,7.958275723670928,10.070476240025757,21.66883354925526,7.426538784296037,51.6530458083546,14.78971681194869,1.4156081625574022,3.034938532990456,39.57494111237836,7.598108046516786e-05,84.4289748243216,9.526788777889095,5.85141280186936,0.19766053106315296,8.427392640396901,3.28,76.38517917164312,0.005682135418996979
11225,45.779368580877886,10.7045551178643,16.910269769086614,66.97458703729343,0.4157482326985659,1.9787713491531072,65.19664882695841,47680.59888980785,10881.585763753716,27215.70757237849,5187.430936860064,19.32343102415368,25.996810494876904,38.62218943446304,28.279050892080523,19.894766921856412,5.9093999268625055,7.297816117615545,14.72182167350239,2.6906454693106445,70.02094067888389,6.133458601861673,1.6752301340172793,4.726722324971711,43.01442942832332,0.00019591326681101594,75.48247846773774,17.814651260562954,6.692476565881847,0.0,15.819700736751544,2.06,9.164526404145608,0.004175629521498441
11216,47.317256756801996,9.379111950816617,16.1838430645886,68.4247710998134,0.6169858042290076,3.3469480000533243,70.75727582765427,45247.003902244884,9775.975312806262,27984.235010664885,4758.823962580012,22.258309341343278,24.974999437092894,39.65479487550331,25.47399375552399,21.89225360772189,5.366083222333115,7.619567583838976,12.12678922090117,2.6204591392562597,70.08395485750785,5.387262926939516,5.228429679208934,4.568670018704153,42.705183433485935,0.00016096645659363794,75.99213636468039,17.819352588464607,6.114094516839226,0.06892301878537054,14.123267877028516,1.45,4.808802626337279,0.004084857766316798
11206,50.30241499801838,44.6655433045092,25.76835685657116,23.40111359777592,0.09934962939703297,4.621553659246285,62.69982915798282,36499.77861003514,9097.094471504915,18183.778291367915,3616.717319837458,36.36706535832294,47.45975127250831,30.469007876926554,28.65968948393488,26.831817072154287,4.457757701209995,9.583019130661958,9.744314968908748,3.2120918845421924,67.53217081013896,12.561845418352686,3.798287254443309,3.1283444578811714,38.5105312074672,8.03982887026825e-05,84.18504573403483,11.635622021445405,4.101581346806322,0.08961487542724797,16.054197883401628,2.98,33.24037793137305,0.005598295526858567
11221,47.07120214380557,33.713505496296314,9.885300918054904,51.14790953642288,0.4535861368599745,3.14930933692764,65.0931661529184,39415.1530717067,10347.7945729511,20453.690780339566,3625.042151103147,28.0056279650808,35.46879681954061,31.635918807086906,28.723677259117217,24.063680771551585,6.513047415966888,9.053457943827485,15.193458213296097,1.8673482150160172,70.64794260562947,5.161550616560981,3.1733786832780995,3.972614290399161,43.543403401382676,9.182410253139048e-05,75.34662307910587,17.47616848677247,7.159462512004708,0.0,17.608878331298627,2.35,1.2333683433461708,0.004829870414279633
11213,45.10885019009746,12.619280457441812,17.41673551028596,65.34857280448097,0.22970440519914875,2.010202375538209,58.77828121134039,34976.299043771265,9015.385655728198,18119.575235330118,3293.4067475524444,29.91495466522945,38.17802629163274,28.36365758285148,31.60248158945288,25.13997208355577,6.584448488704175,8.297503790491671,13.550747674688484,3.7718393862516577,67.45760450451738,10.765317228070508,1.4763305013388976,2.9733542788346536,40.75368293577172,0.00012131565943823632,76.8156899822322,16.46817533312035,6.519258836297847,0.2039344930393719,11.463179220449035,2.78,21.01947901057767,0.004451300284931896
